title,item,quantity,unit_cost_rs,unit_cost_usd,total_rs,total_usd,link
Quartz/Robu/Aero,LED yellow 0805 SMD (pack of 50),1,20 rs,,20 rs,,https://quartzcomponents.com/products/yellow-led-smd-0805-package-pack-of-50?variant=44704070369514&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorHHEX9N_Qa3Kx1LZ2KpQaNh-kxrpF_jSZVKrzUjJXsHzkpZ8kfFVg
Quartz/Robu/Aero,Microphone CMA-4544PF-W,1,45 rs,,45 rs,,https://robu.in/product/microphone-97mm-pack-of-3/
Quartz/Robu/Aero,2P Battery Connector 2.00mm,1,13 rs,,13 rs,,https://robu.in/product/s2b-xh-alfsn-jst-1x2p-2p-xh-tin-2-25%E2%84%8385%E2%84%83-3a-1-2-5mm-brass-bend-insert-push-pullp2-5mm-wire-to-board-connector-rohs/?gad_source=1&gad_campaignid=17427802703&gclid=CjwKCAiAv5bMBhAIEiwAqP9GuNGof2GnprUKj0MFyOCbIIdHB_Goa6iDXlFKLIfhehZBrpr-0kFuTBoCiXoQAvD_BwE
Quartz/Robu/Aero,Male Berg strips,2,14 rs,,28 rs,,https://robu.in/product/1-month-warranty-898/
Quartz/Robu/Aero,Robu Shipping charges,1,50 rs,,50 rs,,
Quartz/Robu/Aero,quartz shipping charges,1,50 rs,,50 rs,,
Quartz/Robu/Aero,aero kart india shipping charges,1,125 rs,,125 rs,,
Quartz/Robu/Aero,Tax,1,158.40 rs,,180.40 rs,,
LCSC,47 uF 0603,10,,0.0627 usd,,0.63 usd,https://www.lcsc.com/product-detail/C140782.html?spm=wm.gwc.xh.0.tp___wm.fly.ssl.gwc&lcsc_vid=RVNcVlIFRAUIAQJfRVdeUlwDFVldBVUFE1QNVVFXRVAxVlNRT1dZVlBWT1NbUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhYS
LCSC,22 uF 0604,5,,0.0501 usd,,0.25 usd,https://www.lcsc.com/product-detail/C2762594.html?spm=wm.gwc.xh.1.tp___wm.fly.ssl.gwc&lcsc_vid=RVNcVlIFRAUIAQJfRVdeUlwDFVldBVUFE1QNVVFXRVAxVlNRT1dZVlBWT1NbUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhYS
LCSC,TP4056-42-ESOP8,5,,0.1864 usd,,0.93 usd,https://www.lcsc.com/product-detail/C16581.html?spm=wm.gwc.xh.2.tp___wm.fly.ssl.gwc&lcsc_vid=RVNcVlIFRAUIAQJfRVdeUlwDFVldBVUFE1QNVVFXRVAxVlNRT1dZVlBWT1NbUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhYS
LCSC,22 uH inductor SMD,5,,0.1782 usd,,0.89 usd,https://www.lcsc.com/product-detail/C27442.html?spm=wm.gwc.xh.3.tp___wm.fly.ssl.gwc&lcsc_vid=RVNcVlIFRAUIAQJfRVdeUlwDFVldBVUFE1QNVVFXRVAxVlNRT1dZVlBWT1NbUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhYS
LCSC,tactile switches,20,,0.0322 usd,,0.64 usd,https://www.lcsc.com/product-detail/C49234152.html?spm=wm.gwc.xh.4.tp___wm.fly.ssl.gwc&lcsc_vid=RVNcVlIFRAUIAQJfRVdeUlwDFVldBVUFE1QNVVFXRVAxVlNRT1dZVlBWT1NbUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhYS
LCSC,SIM card holder,2,,0.393 usd,,0.79 usd,https://www.lcsc.com/product-detail/C7419932.html?spm=wm.gwc.xh.5.tp___wm.fly.ssl.gwc&lcsc_vid=RVNcVlIFRAUIAQJfRVdeUlwDFVldBVUFE1QNVVFXRVAxVlNRT1dZVlBWT1NbUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhYS
LCSC,SD card holder,10,,0.0513 usd,,0.51 usd,https://www.lcsc.com/product-detail/C7529391.html?spm=wm.gwc.xh.6.tp___wm.fly.ssl.gwc&lcsc_vid=RVNcVlIFRAUIAQJfRVdeUlwDFVldBVUFE1QNVVFXRVAxVlNRT1dZVlBWT1NbUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhYS
LCSC,ufl connector,10,,0.0399 usd,,0.40 usd,https://www.lcsc.com/product-detail/C5137195.html?spm=wm.gwc.xh.7.tp___wm.fly.ssl.gwc&lcsc_vid=RVNcVlIFRAUIAQJfRVdeUlwDFVldBVUFE1QNVVFXRVAxVlNRT1dZVlBWT1NbUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhYS
LCSC,MAX485ESA+T,2,,0.9175 usd,,1.84 usd,https://www.lcsc.com/product-detail/C19738.html?spm=wm.gwc.xh.8.tp___wm.fly.ssl.gwc&lcsc_vid=RVNcVlIFRAUIAQJfRVdeUlwDFVldBVUFE1QNVVFXRVAxVlNRT1dZVlBWT1NbUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhYS
Summary,Total,,,2167 rs,23 usd approx.,
JLCPCB,PCB,,, ,4 usd,
